hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
Kepler-1990,2,1.73513619,4.06844957,0.0286,0.0504,2023,392.739,299.7047433,44.4357068
Kepler-1991,2,13.26079792,22.79020351,0.1065,0.1528,2023,855.82,285.0360506,45.0709909
Kepler-1996,2,32.376183,92.7297248,0.1789,0.3608,2023,440.561,285.2537555,46.5822183
Kepler-200,2,8.594805,10.222157,0.08,0.09,2014,665.912,284.4099503,41.2374928
Kepler-2000,2,6.383159135,20.6180348,0.0562,0.1228,2023,320.588,285.5743032,49.9621218
Kepler-2001,2,1.090011003,14.092583189,0.0197,0.1084,2023,776.55,291.6594558,50.5838585
Kepler-201,2,25.672083,151.884058,0.175,0.573,2014,636.445,293.626059,41.2728004
Kepler-202,2,4.069427,16.282493,0.045,0.113,2014,285.111,282.9734874,41.3217991
Kepler-204,2,14.400974,25.660593,0.117,0.173,2014,686.723,285.347162,41.761845
Kepler-205,2,2.75564,20.306546,0.032,0.122,2014,159.72,285.2866912,41.8609357
Kepler-209,2,16.087845,41.749882,0.122,0.231,2014,576.946,291.1694567,42.6407281
Kepler-210,2,2.453234,7.972513,0.032,0.07,2014,232.75,292.5034196,43.0832188
Kepler-211,2,4.138575,6.04045,0.048,0.062,2014,309.353,285.4391183,43.1685051
Kepler-212,2,16.257582,31.805174,0.133,0.207,2014,687.194,287.6208165,43.1416239
Kepler-213,2,2.46236,4.822962,0.036,0.057,2014,634.939,290.8241931,44.6472832
Kepler-214,2,15.660544,28.7798,0.13,0.194,2014,1208.44,284.7548499,44.95605
Kepler-216,2,7.693641,17.406669,0.079,0.136,2014,1187.47,293.7280695,46.1291139
Kepler-225,2,6.738975,18.794234,0.056,0.111,2014,561.101,292.1939846,47.4570808
Kepler-227,2,9.488015,54.418694,0.09,0.29,2014,1083.06,291.9342748,48.141676
Kepler-230,2,32.625555,91.773242,0.191,0.38,2014,740.754,285.7185682,48.5058038
Kepler-231,2,10.065275,19.271566,0.074,0.114,2014,316.618,293.9733913,50.531846
Kepler-232,2,4.431222,11.379349,0.054,0.101,2014,1349.13,295.8161668,51.1217249
Kepler-233,2,8.472382,60.418955,0.077,0.287,2014,856.417,296.3665054,51.3194548
Kepler-234,2,2.711506,7.21205,0.04,0.077,2014,1733.1,291.6535379,38.4946597
Kepler-236,2,8.295611,23.968127,0.065,0.132,2014,288.763,283.8664285,39.8981928
Kepler-237,2,4.715106,8.103636,0.05,0.071,2014,657.822,283.2213438,40.421762
Kepler-239,2,11.763051,56.228098,0.095,0.268,2014,648.109,294.2020505,40.6633313
Kepler-240,2,4.144495,7.953528,0.048,0.074,2014,746.927,291.1587635,40.7502108
Kepler-241,2,12.718092,36.065978,0.094,0.189,2014,512.0,292.9131121,41.0609786
Kepler-242,2,8.20395,14.496481,0.075,0.109,2014,600.241,286.5656932,41.8084168
Kepler-243,2,5.715442,20.026218,0.062,0.142,2014,693.86,285.1104819,42.0339619
Kepler-246,2,4.60182,11.187161,0.052,0.095,2014,626.078,296.4834007,42.6633806
Kepler-248,2,6.308205,16.239494,0.066,0.123,2014,738.792,293.0613138,43.5813577
Kepler-252,2,6.668391,10.848463,0.058,0.08,2014,379.424,295.579329,44.5459052
Kepler-258,2,13.19722,33.653079,0.103,0.193,2014,575.988,294.0684116,46.5791357
Kepler-259,2,8.115317,36.924931,0.079,0.217,2014,1002.14,288.2119707,46.6150461
Kepler-260,2,8.187399,76.050178,0.075,0.332,2014,627.365,291.9259658,38.0140525
Kepler-261,2,10.381227,24.570858,0.088,0.156,2014,317.499,291.3647333,37.609239
Kepler-262,2,13.060855,21.853722,0.108,0.152,2014,613.129,290.7287168,37.2526575
Kepler-263,2,16.568087,47.332773,0.12,0.242,2014,754.747,292.4698022,37.5677941
Kepler-264,2,40.806231,140.101261,0.249,0.566,2014,942.173,292.044628,37.3761861
Kepler-266,2,6.61833,107.723601,0.071,0.457,2014,1370.79,294.4843821,44.1669355
Kepler-268,2,25.934138,83.446393,0.18,0.391,2014,851.87,291.9761559,38.0550327
Kepler-269,2,5.326718,8.127899,0.061,0.081,2014,2257.32,290.2151459,41.775981
Kepler-270,2,11.476094,25.262887,0.107,0.18,2014,948.781,282.2001207,44.4222795
Kepler-273,2,2.936532,8.014927,0.037,0.073,2014,713.964,291.3021458,47.6976573
Kepler-274,2,11.634788,33.197861,0.101,0.204,2014,1333.62,292.9227926,38.4772173
Kepler-277,2,17.324,33.006,0.14168,0.21781,2013,976.643,286.5831894,39.0772582
Kepler-278,2,30.160546,51.078775,0.207,0.294,2014,443.03,290.1072124,38.7022694
Kepler-28,2,5.91,8.99,0.05687,0.07519,2011,438.359,292.1370409,42.4294835
Kepler-280,2,2.139542,4.807091,0.032,0.056,2014,780.361,291.3905325,42.1804735
Kepler-283,2,11.008151,92.743711,0.082,0.341,2014,468.094,293.6137413,47.838938
Kepler-284,2,12.699149,37.514456,0.104,0.213,2014,1031.95,293.1465698,47.7297053
Kepler-285,2,2.633867,6.186676,0.036,0.064,2014,824.31,291.3908469,48.0655392
